01:05:18:218 AM |     Run 55     |    log.py     | Line  583  |  DEBUG   ﰲ Debug message.
01:05:18:219 AM |     Run 55     |    log.py     | Line  594  |   INFO   ﰲ Info message.
01:05:18:219 AM |     Run 55     |    log.py     | Line  605  | SUCCESS  ﰲ Success message.
01:05:18:220 AM |     Run 55     |    log.py     | Line  616  | WARNING  ﰲ Warning message.
01:05:18:220 AM |     Run 55     |    log.py     | Line  627  |  ERROR   ﰲ Error message.
01:05:18:221 AM |     Run 55     |    log.py     | Line  638  | CRITICAL ﰲ Critical message.
01:05:19:260 AM |     Run 55     |    log.py     | Line  865  |  DEBUG   ﰲ Lazy message.
01:05:19:260 AM |     Run 55     |    log.py     | Line  866  |   INFO   ﰲ Lazy message.
01:05:19:260 AM |     Run 55     |    log.py     | Line  867  | SUCCESS  ﰲ Lazy message.
01:05:19:261 AM |     Run 55     |    log.py     | Line  868  | WARNING  ﰲ Lazy message.
01:05:19:261 AM |     Run 55     |    log.py     | Line  869  |  ERROR   ﰲ Lazy message.
01:05:19:262 AM |     Run 55     |    log.py     | Line  870  | CRITICAL ﰲ Lazy message.
01:10:07:790 AM |     Run 62     |    log.py     | Line  583  |  DEBUG   ﰲ Debug message.
01:10:07:790 AM |     Run 62     |    log.py     | Line  594  |   INFO   ﰲ Info message.
01:10:07:791 AM |     Run 62     |    log.py     | Line  605  | SUCCESS  ﰲ Success message.
01:10:07:791 AM |     Run 62     |    log.py     | Line  616  | WARNING  ﰲ Warning message.
01:10:07:792 AM |     Run 62     |    log.py     | Line  627  |  ERROR   ﰲ Error message.
01:10:07:792 AM |     Run 62     |    log.py     | Line  638  | CRITICAL ﰲ Critical message.
01:10:08:831 AM |     Run 62     |    log.py     | Line  865  |  DEBUG   ﰲ Lazy message.
01:10:08:832 AM |     Run 62     |    log.py     | Line  866  |   INFO   ﰲ Lazy message.
01:10:08:832 AM |     Run 62     |    log.py     | Line  867  | SUCCESS  ﰲ Lazy message.
01:10:08:832 AM |     Run 62     |    log.py     | Line  868  | WARNING  ﰲ Lazy message.
01:10:08:833 AM |     Run 62     |    log.py     | Line  869  |  ERROR   ﰲ Lazy message.
01:10:08:833 AM |     Run 62     |    log.py     | Line  870  | CRITICAL ﰲ Lazy message.
01:10:16:001 AM |     Run 63     |    log.py     | Line  583  |  DEBUG   ﰲ Debug message.
01:10:16:011 AM |     Run 63     |    log.py     | Line  594  |   INFO   ﰲ Info message.
01:10:16:012 AM |     Run 63     |    log.py     | Line  605  | SUCCESS  ﰲ Success message.
01:10:16:013 AM |     Run 63     |    log.py     | Line  616  | WARNING  ﰲ Warning message.
01:10:16:014 AM |     Run 63     |    log.py     | Line  627  |  ERROR   ﰲ Error message.
01:10:16:014 AM |     Run 63     |    log.py     | Line  638  | CRITICAL ﰲ Critical message.
01:10:17:040 AM |     Run 63     |    log.py     | Line  865  |  DEBUG   ﰲ Lazy message.
01:10:17:040 AM |     Run 63     |    log.py     | Line  866  |   INFO   ﰲ Lazy message.
01:10:17:040 AM |     Run 63     |    log.py     | Line  867  | SUCCESS  ﰲ Lazy message.
01:10:17:041 AM |     Run 63     |    log.py     | Line  868  | WARNING  ﰲ Lazy message.
01:10:17:041 AM |     Run 63     |    log.py     | Line  869  |  ERROR   ﰲ Lazy message.
01:10:17:042 AM |     Run 63     |    log.py     | Line  870  | CRITICAL ﰲ Lazy message.
