07:49:12:964 AM |   color.py    |      Line  778  |  DEBUG   ﰲ  Entered Color.parse_str(#00afff)
07:49:12:964 AM |   color.py    |      Line  781  |  DEBUG   ﰲ  value_lower: #00afff
07:49:12:964 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  KeyError: #00afff
07:49:12:964 AM |   color.py    |      Line  778  |  DEBUG   ﰲ  Entered Color.parse_str(#00ffff)
07:49:12:964 AM |   color.py    |      Line  781  |  DEBUG   ﰲ  value_lower: #00ffff
07:49:12:964 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  KeyError: #00ffff
07:49:12:964 AM |   color.py    |      Line  778  |  DEBUG   ﰲ  Entered Color.parse_str(#00ffaf)
07:49:12:964 AM |   color.py    |      Line  781  |  DEBUG   ﰲ  value_lower: #00ffaf
07:49:12:964 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  KeyError: #00ffaf
07:49:12:965 AM |   color.py    |      Line  778  |  DEBUG   ﰲ  Entered Color.parse_str(#00ff00)
07:49:12:965 AM |   color.py    |      Line  781  |  DEBUG   ﰲ  value_lower: #00ff00
07:49:12:965 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  KeyError: #00ff00
07:49:12:965 AM |   color.py    |      Line  778  |  DEBUG   ﰲ  Entered Color.parse_str(#afff00)
07:49:12:965 AM |   color.py    |      Line  781  |  DEBUG   ﰲ  value_lower: #afff00
07:49:12:965 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  KeyError: #afff00
07:49:12:965 AM |   color.py    |      Line  778  |  DEBUG   ﰲ  Entered Color.parse_str(#ffff00)
07:49:12:965 AM |   color.py    |      Line  781  |  DEBUG   ﰲ  value_lower: #ffff00
07:49:12:965 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  KeyError: #ffff00
07:49:12:965 AM |   color.py    |      Line  778  |  DEBUG   ﰲ  Entered Color.parse_str(#ffaf00)
07:49:12:965 AM |   color.py    |      Line  781  |  DEBUG   ﰲ  value_lower: #ffaf00
07:49:12:965 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  KeyError: #ffaf00
07:49:12:965 AM |   color.py    |      Line  778  |  DEBUG   ﰲ  Entered Color.parse_str(#ff5f00)
07:49:12:965 AM |   color.py    |      Line  781  |  DEBUG   ﰲ  value_lower: #ff5f00
07:49:12:965 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  KeyError: #ff5f00
07:49:12:965 AM |   color.py    |      Line  778  |  DEBUG   ﰲ  Entered Color.parse_str(#ff0000)
07:49:12:965 AM |   color.py    |      Line  781  |  DEBUG   ﰲ  value_lower: #ff0000
07:49:12:965 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  KeyError: #ff0000
07:49:12:965 AM |   color.py    |      Line  778  |  DEBUG   ﰲ  Entered Color.parse_str(#ff005f)
07:49:12:965 AM |   color.py    |      Line  781  |  DEBUG   ﰲ  value_lower: #ff005f
07:49:12:965 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  KeyError: #ff005f
07:49:12:965 AM |   color.py    |      Line  778  |  DEBUG   ﰲ  Entered Color.parse_str(#ff00af)
07:49:12:965 AM |   color.py    |      Line  781  |  DEBUG   ﰲ  value_lower: #ff00af
07:49:12:965 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  KeyError: #ff00af
07:49:12:965 AM |   color.py    |      Line  778  |  DEBUG   ﰲ  Entered Color.parse_str(#ff00ff)
07:49:12:965 AM |   color.py    |      Line  781  |  DEBUG   ﰲ  value_lower: #ff00ff
07:49:12:965 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  KeyError: #ff00ff
07:49:12:965 AM |   color.py    |      Line  778  |  DEBUG   ﰲ  Entered Color.parse_str(#af00ff)
07:49:12:965 AM |   color.py    |      Line  781  |  DEBUG   ﰲ  value_lower: #af00ff
07:49:12:965 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  KeyError: #af00ff
07:49:12:965 AM |   color.py    |      Line  778  |  DEBUG   ﰲ  Entered Color.parse_str(#5f00ff)
07:49:12:965 AM |   color.py    |      Line  781  |  DEBUG   ﰲ  value_lower: #5f00ff
07:49:12:965 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  KeyError: #5f00ff
07:49:12:965 AM |   color.py    |      Line  778  |  DEBUG   ﰲ  Entered Color.parse_str(#0000ff)
07:49:12:965 AM |   color.py    |      Line  781  |  DEBUG   ﰲ  value_lower: #0000ff
07:49:12:965 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  KeyError: #0000ff
07:49:12:965 AM |   color.py    |      Line  778  |  DEBUG   ﰲ  Entered Color.parse_str(#005fff)
07:49:12:965 AM |   color.py    |      Line  781  |  DEBUG   ﰲ  value_lower: #005fff
07:49:12:965 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  KeyError: #005fff
